2024-06-18-14-29-20.695861,gneJ0,gneJ6
2024-06-18-14-30-26.548643,0,0
2024-06-18-14-30-56.600445,0,0
2024-06-18-14-31-26.734330,0,0
2024-06-18-14-31-57.924293,12,4
2024-06-18-14-32-28.491619,272,264
