2024-06-18-14-29-20.695861,gneJ0,gneJ6
2024-06-18-14-30-26.611038,4749,4092
2024-06-18-14-30-56.607927,9192,8005
2024-06-18-14-31-26.746797,13253,11643
2024-06-18-14-31-58.139428,17029,15012
2024-06-18-14-32-28.505128,15081,15005
